[2024-08-22T23:57:02.348+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload manual__2024-08-22T21:56:54.597935+00:00 [queued]>
[2024-08-22T23:57:02.351+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload manual__2024-08-22T21:56:54.597935+00:00 [queued]>
[2024-08-22T23:57:02.351+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:57:02.366+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 21:56:54.597935+00:00
[2024-08-22T23:57:02.368+0200] {standard_task_runner.py:60} INFO - Started process 54754 to run task
[2024-08-22T23:57:02.370+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'manual__2024-08-22T21:56:54.597935+00:00', '--job-id', '1162', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpjjbs1kb1']
[2024-08-22T23:57:02.373+0200] {standard_task_runner.py:88} INFO - Job 1162: Subtask upload
[2024-08-22T23:57:02.398+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload manual__2024-08-22T21:56:54.597935+00:00 [running]> on host Ugoo.
[2024-08-22T23:57:02.450+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T21:56:54.597935+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-22T21:56:54.597935+00:00'
[2024-08-22T23:57:02.709+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.736+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.763+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.787+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.810+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.835+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.861+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.884+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.908+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.931+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.956+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:02.979+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.003+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.028+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.052+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.076+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.099+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.121+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.146+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.169+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.194+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.218+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.243+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.267+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.291+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.314+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.337+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.360+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.387+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.411+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.435+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.458+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.483+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.505+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.530+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.553+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.578+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.603+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.628+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.653+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.677+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.700+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.725+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.750+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.775+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.800+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.824+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.848+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.872+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.895+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.920+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.943+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.967+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:03.991+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.014+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.038+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.085+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.108+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.134+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.157+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.182+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.211+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.234+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.258+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.282+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.306+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.332+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.355+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.379+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.406+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.431+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.454+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.478+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.501+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.523+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.545+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.573+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.598+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.622+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.644+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.669+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.694+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.721+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.744+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.769+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.793+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.824+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.859+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.883+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.908+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.931+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.955+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:04.980+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.004+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.027+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.051+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.075+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.098+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.122+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.144+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:57:05.170+0200] {logging_mixin.py:188} INFO - Data uploaded successfully to PostgreSQL database.
[2024-08-22T23:57:05.170+0200] {python.py:201} INFO - Done. Returned value was: None
[2024-08-22T23:57:05.173+0200] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=Ugoo-DAG, task_id=upload, execution_date=20240822T215654, start_date=20240822T215702, end_date=20240822T215705
[2024-08-22T23:57:05.199+0200] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-08-22T23:57:05.206+0200] {taskinstance.py:3281} INFO - 0 downstream tasks scheduled from follow-on schedule check
