[2024-08-22T23:40:54.060+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:24:00+00:00 [queued]>
[2024-08-22T23:40:54.063+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:24:00+00:00 [queued]>
[2024-08-22T23:40:54.063+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:40:54.083+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:24:00+00:00
[2024-08-22T23:40:54.085+0200] {standard_task_runner.py:60} INFO - Started process 50424 to run task
[2024-08-22T23:40:54.088+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:24:00+00:00', '--job-id', '999', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmplia7t_hk']
[2024-08-22T23:40:54.089+0200] {standard_task_runner.py:88} INFO - Job 999: Subtask upload
[2024-08-22T23:40:54.120+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:24:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:40:54.164+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:24:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:24:00+00:00'
[2024-08-22T23:40:54.453+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.483+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.508+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.542+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.578+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.607+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.632+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.656+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.680+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.705+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.732+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.765+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.789+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.816+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.844+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.870+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.899+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.924+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.953+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:54.978+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.004+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.033+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.085+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.110+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.134+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.161+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.186+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.211+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.237+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.264+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.287+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.314+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.340+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.366+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.390+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.416+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:40:55.443+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
