[2024-08-22T23:41:00.827+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:25:00+00:00 [queued]>
[2024-08-22T23:41:00.832+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:25:00+00:00 [queued]>
[2024-08-22T23:41:00.832+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:41:00.852+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:25:00+00:00
[2024-08-22T23:41:00.854+0200] {standard_task_runner.py:60} INFO - Started process 50455 to run task
[2024-08-22T23:41:00.857+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:25:00+00:00', '--job-id', '1000', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpxv974ifw']
[2024-08-22T23:41:00.862+0200] {standard_task_runner.py:88} INFO - Job 1000: Subtask upload
[2024-08-22T23:41:00.896+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:25:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:41:00.947+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:25:00+00:00'
[2024-08-22T23:41:01.221+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.251+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.276+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.300+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.325+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.348+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.372+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.398+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.423+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.457+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.482+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.507+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.531+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.556+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.580+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.605+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.630+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.653+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.676+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.701+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.725+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.749+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.772+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.796+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.821+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.844+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.867+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.891+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.918+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.942+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.967+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:01.989+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:02.012+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:02.037+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:02.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:02.087+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:02.113+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
