[2024-08-22T23:41:09.278+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:26:00+00:00 [queued]>
[2024-08-22T23:41:09.282+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:26:00+00:00 [queued]>
[2024-08-22T23:41:09.283+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:41:09.304+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:26:00+00:00
[2024-08-22T23:41:09.306+0200] {standard_task_runner.py:60} INFO - Started process 50491 to run task
[2024-08-22T23:41:09.308+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:26:00+00:00', '--job-id', '1001', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp9d90s7jo']
[2024-08-22T23:41:09.310+0200] {standard_task_runner.py:88} INFO - Job 1001: Subtask upload
[2024-08-22T23:41:09.346+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:26:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:41:09.395+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:26:00+00:00'
[2024-08-22T23:41:09.658+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.687+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.713+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.738+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.762+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.787+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.810+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.834+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.860+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.885+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.909+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.937+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.965+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:09.991+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.016+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.042+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.066+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.091+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.114+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.139+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.173+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.202+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.227+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.251+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.276+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.300+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:10.326+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
