[2024-08-22T23:41:39.970+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:29:00+00:00 [queued]>
[2024-08-22T23:41:39.975+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:29:00+00:00 [queued]>
[2024-08-22T23:41:39.975+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:41:39.989+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:29:00+00:00
[2024-08-22T23:41:39.990+0200] {standard_task_runner.py:60} INFO - Started process 50628 to run task
[2024-08-22T23:41:39.992+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:29:00+00:00', '--job-id', '1007', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp8h_u81yn']
[2024-08-22T23:41:39.993+0200] {standard_task_runner.py:88} INFO - Job 1007: Subtask upload
[2024-08-22T23:41:40.018+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:29:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:41:40.060+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:29:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:29:00+00:00'
[2024-08-22T23:41:40.319+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.348+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.375+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.399+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.424+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.449+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.475+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.499+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.523+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.548+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.578+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.609+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.635+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.660+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.686+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.710+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.733+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.763+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.788+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.812+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.840+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.870+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.904+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.940+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.966+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:40.997+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.026+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.050+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.076+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.102+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.149+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.174+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.202+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.228+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.253+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.278+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.306+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.332+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.357+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.383+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.409+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.435+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.460+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.485+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.510+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.535+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.561+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.586+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.613+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.639+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.666+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:41:41.690+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
