[2024-08-22T23:42:52.236+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:33:00+00:00 [queued]>
[2024-08-22T23:42:52.240+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:33:00+00:00 [queued]>
[2024-08-22T23:42:52.240+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:42:52.253+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:33:00+00:00
[2024-08-22T23:42:52.254+0200] {standard_task_runner.py:60} INFO - Started process 50974 to run task
[2024-08-22T23:42:52.257+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:33:00+00:00', '--job-id', '1033', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp6t6qr9kz']
[2024-08-22T23:42:52.260+0200] {standard_task_runner.py:88} INFO - Job 1033: Subtask upload
[2024-08-22T23:42:52.286+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:33:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:42:52.327+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:33:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:33:00+00:00'
[2024-08-22T23:42:52.579+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.607+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.631+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.660+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.684+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.709+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.734+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.765+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.791+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.819+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.845+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.872+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.900+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.925+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.949+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:52.975+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.001+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.026+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.054+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.077+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.102+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.127+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.151+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.175+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.199+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.223+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.249+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.275+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.300+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.327+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.357+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.381+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.412+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.438+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.471+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.496+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.522+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.547+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.571+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.596+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.642+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.667+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.692+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.718+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.745+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.773+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.798+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.824+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.849+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.876+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.901+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.925+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.950+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:53.976+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.001+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.026+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.050+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.075+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.103+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.128+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.152+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.179+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.218+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.242+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.268+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.293+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.318+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.350+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.375+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.407+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.436+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.461+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.485+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.508+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.533+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.560+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.586+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.613+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.637+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.663+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.688+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.735+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.761+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.787+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.811+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.836+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.862+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.886+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.911+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.935+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.960+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:54.985+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.009+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.035+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.085+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.110+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.139+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.164+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.199+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.223+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:55.248+0200] {logging_mixin.py:188} INFO - Data uploaded successfully to PostgreSQL database.
[2024-08-22T23:42:55.248+0200] {python.py:201} INFO - Done. Returned value was: None
[2024-08-22T23:42:55.253+0200] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=Ugoo-DAG, task_id=upload, execution_date=20240822T043300, start_date=20240822T214252, end_date=20240822T214255
[2024-08-22T23:42:55.290+0200] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-08-22T23:42:55.301+0200] {taskinstance.py:3281} INFO - 0 downstream tasks scheduled from follow-on schedule check
