[2024-08-22T23:45:01.657+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:37:00+00:00 [queued]>
[2024-08-22T23:45:01.660+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:37:00+00:00 [queued]>
[2024-08-22T23:45:01.660+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:45:01.674+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:37:00+00:00
[2024-08-22T23:45:01.676+0200] {standard_task_runner.py:60} INFO - Started process 51576 to run task
[2024-08-22T23:45:01.679+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:37:00+00:00', '--job-id', '1054', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp2j3hk9dl']
[2024-08-22T23:45:01.681+0200] {standard_task_runner.py:88} INFO - Job 1054: Subtask upload
[2024-08-22T23:45:01.707+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:37:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:45:01.749+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:37:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:37:00+00:00'
[2024-08-22T23:45:02.006+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.035+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.085+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.109+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.134+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.159+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.186+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.211+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.237+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.262+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.285+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.310+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.334+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.359+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.383+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.409+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.438+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.465+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:02.491+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
