[2024-08-22T23:45:24.102+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:39:00+00:00 [queued]>
[2024-08-22T23:45:24.108+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:39:00+00:00 [queued]>
[2024-08-22T23:45:24.108+0200] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-08-22T23:45:24.135+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:39:00+00:00
[2024-08-22T23:45:24.137+0200] {standard_task_runner.py:60} INFO - Started process 51685 to run task
[2024-08-22T23:45:24.140+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:39:00+00:00', '--job-id', '1062', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp65e7thy6']
[2024-08-22T23:45:24.144+0200] {standard_task_runner.py:88} INFO - Job 1062: Subtask upload
[2024-08-22T23:45:24.202+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:39:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:45:24.316+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:39:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:39:00+00:00'
[2024-08-22T23:45:24.563+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.597+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.620+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.643+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.668+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.696+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.719+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.742+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.770+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.795+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.819+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.843+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.867+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.889+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.912+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:24.936+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
