[2024-08-22T23:42:56.672+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:44:00+00:00 [queued]>
[2024-08-22T23:42:56.676+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:44:00+00:00 [queued]>
[2024-08-22T23:42:56.676+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:42:56.696+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:44:00+00:00
[2024-08-22T23:42:56.698+0200] {standard_task_runner.py:60} INFO - Started process 50993 to run task
[2024-08-22T23:42:56.700+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:44:00+00:00', '--job-id', '1034', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpkal1_at8']
[2024-08-22T23:42:56.703+0200] {standard_task_runner.py:88} INFO - Job 1034: Subtask upload
[2024-08-22T23:42:56.726+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:44:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:42:56.780+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:44:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:44:00+00:00'
[2024-08-22T23:42:57.050+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.080+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.105+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.134+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.160+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.185+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.209+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.233+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.259+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.283+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.308+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:42:57.335+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
