[2024-08-22T23:43:05.508+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:45:00+00:00 [queued]>
[2024-08-22T23:43:05.513+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:45:00+00:00 [queued]>
[2024-08-22T23:43:05.514+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:43:05.536+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:45:00+00:00
[2024-08-22T23:43:05.539+0200] {standard_task_runner.py:60} INFO - Started process 51037 to run task
[2024-08-22T23:43:05.542+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:45:00+00:00', '--job-id', '1037', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp13g5v4jl']
[2024-08-22T23:43:05.544+0200] {standard_task_runner.py:88} INFO - Job 1037: Subtask upload
[2024-08-22T23:43:05.573+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:45:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:43:05.635+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:45:00+00:00'
[2024-08-22T23:43:05.887+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:05.917+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:05.941+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:05.966+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:05.990+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.013+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.037+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.061+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.089+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.114+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.140+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.164+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.187+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.213+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.236+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.259+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.283+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.315+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.339+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.362+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.385+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.407+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.430+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.453+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.482+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.505+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.529+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.561+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.584+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.607+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.631+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.654+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.679+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.703+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.728+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.753+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.778+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.802+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.826+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.853+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.875+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.900+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.933+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.958+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:06.981+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.005+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.031+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.055+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.081+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.105+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.128+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.150+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.176+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.200+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.230+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.254+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.279+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.303+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.327+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.353+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.378+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.401+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.425+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.448+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.471+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.493+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.518+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.542+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.566+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.591+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.615+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.639+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.662+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.697+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.721+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.744+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.767+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.791+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.818+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.841+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.864+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.889+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.912+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.944+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:07.971+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.003+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.029+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.052+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.077+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.100+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.125+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:08.148+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
