[2024-08-22T23:43:20.800+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:47:00+00:00 [queued]>
[2024-08-22T23:43:20.806+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:47:00+00:00 [queued]>
[2024-08-22T23:43:20.806+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:43:20.820+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:47:00+00:00
[2024-08-22T23:43:20.823+0200] {standard_task_runner.py:60} INFO - Started process 51117 to run task
[2024-08-22T23:43:20.825+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:47:00+00:00', '--job-id', '1042', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpwohqtuod']
[2024-08-22T23:43:20.826+0200] {standard_task_runner.py:88} INFO - Job 1042: Subtask upload
[2024-08-22T23:43:20.860+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:47:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:43:20.917+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:47:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:47:00+00:00'
[2024-08-22T23:43:21.160+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.188+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.212+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.236+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.259+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.288+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.311+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.338+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.361+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.385+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.410+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.435+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.458+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:43:21.481+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
