[2024-08-22T23:45:10.224+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:49:00+00:00 [queued]>
[2024-08-22T23:45:10.227+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:49:00+00:00 [queued]>
[2024-08-22T23:45:10.227+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:45:10.241+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 04:49:00+00:00
[2024-08-22T23:45:10.242+0200] {standard_task_runner.py:60} INFO - Started process 51616 to run task
[2024-08-22T23:45:10.245+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T04:49:00+00:00', '--job-id', '1056', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpkn9ua_so']
[2024-08-22T23:45:10.246+0200] {standard_task_runner.py:88} INFO - Job 1056: Subtask upload
[2024-08-22T23:45:10.272+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T04:49:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:45:10.326+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T04:49:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T04:49:00+00:00'
[2024-08-22T23:45:10.606+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.636+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.660+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.684+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.709+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.736+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.761+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.787+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.815+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:45:10.841+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
