[2024-08-22T23:46:27.729+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T06:50:00+00:00 [queued]>
[2024-08-22T23:46:27.733+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T06:50:00+00:00 [queued]>
[2024-08-22T23:46:27.734+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:46:27.745+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 06:50:00+00:00
[2024-08-22T23:46:27.748+0200] {standard_task_runner.py:60} INFO - Started process 51992 to run task
[2024-08-22T23:46:27.750+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T06:50:00+00:00', '--job-id', '1085', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpklqb0wa6']
[2024-08-22T23:46:27.755+0200] {standard_task_runner.py:88} INFO - Job 1085: Subtask upload
[2024-08-22T23:46:27.786+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T06:50:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:46:27.839+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T06:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T06:50:00+00:00'
[2024-08-22T23:46:28.101+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.131+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.156+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.202+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.229+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.256+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.280+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.308+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.334+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.358+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.389+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.414+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.442+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.476+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.500+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.525+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.553+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.580+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.604+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.630+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.659+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.684+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.708+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.734+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.758+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.783+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.812+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.836+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.863+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.887+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.912+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.938+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.965+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:28.989+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.014+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.040+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.066+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.094+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.123+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.147+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.171+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.203+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.227+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.252+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.278+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.303+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.326+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.361+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.386+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.412+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.440+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.465+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.489+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.514+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.541+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.565+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.590+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.617+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.653+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.683+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.707+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.731+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.757+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.781+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.805+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.831+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.857+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.881+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.905+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.931+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.956+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:29.982+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.006+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.032+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.057+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.082+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.107+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.141+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.166+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.188+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.213+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.238+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.264+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.288+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.314+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.339+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.366+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.391+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.419+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.447+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.472+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.506+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.533+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.564+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.591+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.615+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.640+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.671+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.698+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.724+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.749+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:30.779+0200] {logging_mixin.py:188} INFO - Data uploaded successfully to PostgreSQL database.
[2024-08-22T23:46:30.780+0200] {python.py:201} INFO - Done. Returned value was: None
[2024-08-22T23:46:30.785+0200] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=Ugoo-DAG, task_id=upload, execution_date=20240822T065000, start_date=20240822T214627, end_date=20240822T214630
[2024-08-22T23:46:30.821+0200] {local_task_job_runner.py:234} INFO - Task exited with return code 0
