[2024-08-22T23:46:32.463+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T08:51:00+00:00 [queued]>
[2024-08-22T23:46:32.469+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T08:51:00+00:00 [queued]>
[2024-08-22T23:46:32.469+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:46:32.481+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 08:51:00+00:00
[2024-08-22T23:46:32.483+0200] {standard_task_runner.py:60} INFO - Started process 52013 to run task
[2024-08-22T23:46:32.486+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T08:51:00+00:00', '--job-id', '1086', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpqt1d_5zu']
[2024-08-22T23:46:32.490+0200] {standard_task_runner.py:88} INFO - Job 1086: Subtask upload
[2024-08-22T23:46:32.514+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T08:51:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:46:32.568+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T08:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T08:51:00+00:00'
[2024-08-22T23:46:32.818+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.845+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.869+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.891+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.914+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.938+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.960+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:32.984+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.007+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.031+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.060+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.084+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.117+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.141+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.163+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.185+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.211+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.234+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:46:33.257+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
