[2024-08-22T23:48:35.813+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T09:50:00+00:00 [queued]>
[2024-08-22T23:48:35.818+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T09:50:00+00:00 [queued]>
[2024-08-22T23:48:35.818+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:48:35.832+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 09:50:00+00:00
[2024-08-22T23:48:35.834+0200] {standard_task_runner.py:60} INFO - Started process 52601 to run task
[2024-08-22T23:48:35.836+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T09:50:00+00:00', '--job-id', '1124', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmprqrknsmf']
[2024-08-22T23:48:35.840+0200] {standard_task_runner.py:88} INFO - Job 1124: Subtask upload
[2024-08-22T23:48:35.866+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T09:50:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:48:35.921+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T09:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T09:50:00+00:00'
[2024-08-22T23:48:36.174+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.205+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.231+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.258+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.283+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.306+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.331+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.357+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.379+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.403+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.427+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.453+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.478+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.503+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.528+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.552+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.575+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.598+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.624+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.650+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.675+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.700+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.723+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.748+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:36.774+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
