[2024-08-22T23:49:23.424+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:50:00+00:00 [queued]>
[2024-08-22T23:49:23.428+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:50:00+00:00 [queued]>
[2024-08-22T23:49:23.428+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:49:23.441+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 10:50:00+00:00
[2024-08-22T23:49:23.443+0200] {standard_task_runner.py:60} INFO - Started process 52824 to run task
[2024-08-22T23:49:23.446+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T10:50:00+00:00', '--job-id', '1141', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp2svfhvxv']
[2024-08-22T23:49:23.447+0200] {standard_task_runner.py:88} INFO - Job 1141: Subtask upload
[2024-08-22T23:49:23.472+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:50:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:49:23.522+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T10:50:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T10:50:00+00:00'
[2024-08-22T23:49:23.788+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.818+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.841+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.865+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.889+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.914+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.938+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.962+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:23.985+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:24.010+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
