[2024-08-22T23:47:44.509+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:51:00+00:00 [queued]>
[2024-08-22T23:47:44.512+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:51:00+00:00 [queued]>
[2024-08-22T23:47:44.513+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:47:44.526+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 10:51:00+00:00
[2024-08-22T23:47:44.529+0200] {standard_task_runner.py:60} INFO - Started process 52355 to run task
[2024-08-22T23:47:44.531+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T10:51:00+00:00', '--job-id', '1104', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpg2cagnt3']
[2024-08-22T23:47:44.533+0200] {standard_task_runner.py:88} INFO - Job 1104: Subtask upload
[2024-08-22T23:47:44.558+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T10:51:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:47:44.610+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T10:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T10:51:00+00:00'
[2024-08-22T23:47:44.898+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:44.924+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:44.948+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:44.974+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:44.998+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.023+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.050+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.074+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.100+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.127+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.153+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.177+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.201+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.225+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.252+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.275+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.298+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:45.324+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
