[2024-08-22T23:47:54.462+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T11:51:00+00:00 [queued]>
[2024-08-22T23:47:54.467+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T11:51:00+00:00 [queued]>
[2024-08-22T23:47:54.467+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:47:54.481+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 11:51:00+00:00
[2024-08-22T23:47:54.483+0200] {standard_task_runner.py:60} INFO - Started process 52403 to run task
[2024-08-22T23:47:54.486+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T11:51:00+00:00', '--job-id', '1108', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp7009zqvf']
[2024-08-22T23:47:54.487+0200] {standard_task_runner.py:88} INFO - Job 1108: Subtask upload
[2024-08-22T23:47:54.516+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T11:51:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:47:54.565+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T11:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T11:51:00+00:00'
[2024-08-22T23:47:54.825+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.854+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.877+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.900+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.927+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.953+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.977+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:54.999+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.023+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.047+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.073+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.096+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.121+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.144+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:47:55.174+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
