[2024-08-22T23:48:14.036+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T13:51:00+00:00 [queued]>
[2024-08-22T23:48:14.039+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T13:51:00+00:00 [queued]>
[2024-08-22T23:48:14.039+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:48:14.050+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 13:51:00+00:00
[2024-08-22T23:48:14.053+0200] {standard_task_runner.py:60} INFO - Started process 52492 to run task
[2024-08-22T23:48:14.055+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T13:51:00+00:00', '--job-id', '1114', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmpkz2ng8uo']
[2024-08-22T23:48:14.057+0200] {standard_task_runner.py:88} INFO - Job 1114: Subtask upload
[2024-08-22T23:48:14.080+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T13:51:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:48:14.134+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T13:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T13:51:00+00:00'
[2024-08-22T23:48:14.384+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.413+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.437+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.462+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.487+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.511+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.535+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.559+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.584+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.608+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.632+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.659+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.683+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.707+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.732+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.756+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.781+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.805+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.829+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.854+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.878+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.902+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.926+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.952+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:14.977+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.027+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.052+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.079+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.107+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.133+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.158+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.183+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.207+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.232+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.258+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.284+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.309+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.334+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.360+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.405+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.430+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.455+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.484+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.508+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.532+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:48:15.556+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
