[2024-08-22T23:49:37.639+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T19:51:00+00:00 [queued]>
[2024-08-22T23:49:37.642+0200] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T19:51:00+00:00 [queued]>
[2024-08-22T23:49:37.643+0200] {taskinstance.py:2171} INFO - Starting attempt 1 of 2
[2024-08-22T23:49:37.655+0200] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): upload> on 2024-08-22 19:51:00+00:00
[2024-08-22T23:49:37.656+0200] {standard_task_runner.py:60} INFO - Started process 52891 to run task
[2024-08-22T23:49:37.659+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Ugoo-DAG', 'upload', 'scheduled__2024-08-22T19:51:00+00:00', '--job-id', '1146', '--raw', '--subdir', 'DAGS_FOLDER/datadownload.py', '--cfg-path', '/tmp/tmp1m7cpp0q']
[2024-08-22T23:49:37.662+0200] {standard_task_runner.py:88} INFO - Job 1146: Subtask upload
[2024-08-22T23:49:37.686+0200] {task_command.py:423} INFO - Running <TaskInstance: Ugoo-DAG.upload scheduled__2024-08-22T19:51:00+00:00 [running]> on host Ugoo.
[2024-08-22T23:49:37.736+0200] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='ugoo@ezekomas.com' AIRFLOW_CTX_DAG_OWNER='Ugoo Ezekoma' AIRFLOW_CTX_DAG_ID='Ugoo-DAG' AIRFLOW_CTX_TASK_ID='upload' AIRFLOW_CTX_EXECUTION_DATE='2024-08-22T19:51:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-22T19:51:00+00:00'
[2024-08-22T23:49:37.995+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.021+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.048+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.072+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.097+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.123+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.146+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.173+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.198+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.225+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.249+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.272+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.298+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.322+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.348+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.371+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.397+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.423+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.448+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.472+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.496+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.521+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.546+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.570+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.598+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.623+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.648+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.673+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.697+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.724+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.750+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.774+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.798+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.824+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.848+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.873+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.897+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.922+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.946+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.973+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:38.998+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.023+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.047+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.074+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.098+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.126+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.151+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.176+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.200+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.223+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.248+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.275+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.301+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.324+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.348+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.372+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.396+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.420+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.446+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.470+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.495+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.519+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.542+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.568+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.595+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.619+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.646+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.671+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.696+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.722+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.748+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.773+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.797+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.822+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.847+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.871+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.896+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.920+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.943+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.969+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:39.994+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.018+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.042+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.066+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.089+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.112+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.135+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.160+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.184+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.208+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.234+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.259+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.284+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.310+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.334+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.358+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.382+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.408+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.434+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.459+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.483+0200] {logging_mixin.py:188} INFO - Skipping invalid row: []
[2024-08-22T23:49:40.507+0200] {logging_mixin.py:188} INFO - Data uploaded successfully to PostgreSQL database.
[2024-08-22T23:49:40.508+0200] {python.py:201} INFO - Done. Returned value was: None
[2024-08-22T23:49:40.514+0200] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=Ugoo-DAG, task_id=upload, execution_date=20240822T195100, start_date=20240822T214937, end_date=20240822T214940
[2024-08-22T23:49:40.534+0200] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2024-08-22T23:49:40.542+0200] {taskinstance.py:3281} INFO - 0 downstream tasks scheduled from follow-on schedule check
